manual,ai_model,strict_accuracy,strict_percent,normalized_accuracy,normalized_percent
1SFC132089M0201_PSTX_Internal_Modbus_RTU.pdf,gpt-5.1,12/15,80.00%,12/15,80.00%
1SFC132089M0201_PSTX_Internal_Modbus_RTU.pdf,gpt-5.1,Expected: Node Name (subnetwork.nodes[0].properties.name=Status word),,,
1SFC132089M0201_PSTX_Internal_Modbus_RTU.pdf,gpt-5.1,Predicted: Node Name (subnetwork.nodes[0].properties.name=PSTX),,,
1SFC132089M0201_PSTX_Internal_Modbus_RTU.pdf,gpt-5.1,Expected: Data Bits (subnetwork.properties.dataBits=1),,,
1SFC132089M0201_PSTX_Internal_Modbus_RTU.pdf,gpt-5.1,Predicted: Data Bits (subnetwork.properties.dataBits=not found),,,
1SFC132089M0201_PSTX_Internal_Modbus_RTU.pdf,gpt-5.1,Expected: Stop Bits (subnetwork.properties.stopBits=0),,,
1SFC132089M0201_PSTX_Internal_Modbus_RTU.pdf,gpt-5.1,Predicted: Stop Bits (subnetwork.properties.stopBits=not found),,,
9203_mcm_101.pdf,gpt-5.1,9/15,60.00%,10/15,66.67%
9203_mcm_101.pdf,gpt-5.1,Expected: Node Name (subnetwork.nodes[0].properties.name=4511),,,
9203_mcm_101.pdf,gpt-5.1,Predicted: Node Name (subnetwork.nodes[0].properties.name=9203MCM101),,,
9203_mcm_101.pdf,gpt-5.1,Expected: Node Address (subnetwork.nodes[0].properties.nodeAddress=247),,,
9203_mcm_101.pdf,gpt-5.1,Predicted: Node Address (subnetwork.nodes[0].properties.nodeAddress=1),,,
9203_mcm_101.pdf,gpt-5.1,Near Match: Transaction Name (subnetwork.nodes[0].transactions[0].properties.name=Password),,,
9203_mcm_101.pdf,gpt-5.1,Predicted: Transaction Name (subnetwork.nodes[0].transactions[0].properties.name=PASSWORD),,,
9203_mcm_101.pdf,gpt-5.1,Expected: Baud Rate (subnetwork.properties.baudRate=19200),,,
9203_mcm_101.pdf,gpt-5.1,Predicted: Baud Rate (subnetwork.properties.baudRate=115200),,,
9203_mcm_101.pdf,gpt-5.1,Expected: Data Bits (subnetwork.properties.dataBits=1),,,
9203_mcm_101.pdf,gpt-5.1,Predicted: Data Bits (subnetwork.properties.dataBits=not found),,,
9203_mcm_101.pdf,gpt-5.1,Expected: Parity (subnetwork.properties.parity=2),,,
9203_mcm_101.pdf,gpt-5.1,Predicted: Parity (subnetwork.properties.parity=0),,,
APM-MAX-Modbus-Communications.pdf,gpt-5.1,10/15,66.67%,10/15,66.67%
APM-MAX-Modbus-Communications.pdf,gpt-5.1,Expected: Addressing Mode (subnetwork.nodes[0].properties.modbusAddressingMode=0),,,
APM-MAX-Modbus-Communications.pdf,gpt-5.1,Predicted: Addressing Mode (subnetwork.nodes[0].properties.modbusAddressingMode=1),,,
APM-MAX-Modbus-Communications.pdf,gpt-5.1,Expected: Node Name (subnetwork.nodes[0].properties.name=Displayed Value),,,
APM-MAX-Modbus-Communications.pdf,gpt-5.1,Predicted: Node Name (subnetwork.nodes[0].properties.name=APM-MAX),,,
APM-MAX-Modbus-Communications.pdf,gpt-5.1,Expected: Request Starting Address (subnetwork.nodes[0].transactions[0].frames[0].frameObjects[2].properties.data=1),,,
APM-MAX-Modbus-Communications.pdf,gpt-5.1,Predicted: Request Starting Address (subnetwork.nodes[0].transactions[0].frames[0].frameObjects[2].properties.data=0),,,
APM-MAX-Modbus-Communications.pdf,gpt-5.1,Expected: Data Bits (subnetwork.properties.dataBits=1),,,
APM-MAX-Modbus-Communications.pdf,gpt-5.1,Predicted: Data Bits (subnetwork.properties.dataBits=not found),,,
