manual,ai_model,accuracy,accuracy_percent
LV_Podrecznik_PAC2200_EN_2017.pdf,gpt-5.1,13/13,100.00%
,,Correct: Addressing Mode (subnetwork.nodes[0].properties.modbusAddressingMode=1),Predicted: 0 [wire-equivalent]
,,Correct: Node Address (subnetwork.nodes[0].properties.nodeAddress=1),Predicted: 1 [default]
,,Correct: Request Function Code (subnetwork.nodes[0].transactions[0].frames[0].frameObjects[1].properties.data=3),Predicted: 3 [default]
,,Correct: Request Starting Address (subnetwork.nodes[0].transactions[0].frames[0].frameObjects[2].properties.data=18),Predicted: 19 [wire-equivalent]
,,Correct: Request Quantity (subnetwork.nodes[0].transactions[0].frames[0].frameObjects[3].properties.data=2),Predicted: 2 [default]
,,Correct: Response Function Code (subnetwork.nodes[0].transactions[0].frames[1].frameObjects[1].properties.data=3),Predicted: 3 [default]
,,Correct: Response Byte Count (subnetwork.nodes[0].transactions[0].frames[1].frameObjects[2].properties.data=4),Predicted: 4 [default]
,,Correct: Response Data Length (subnetwork.nodes[0].transactions[0].frames[1].frameObjects[3].properties.dataLength=4),Predicted: 4 [default]
,,Correct: Baud Rate (subnetwork.properties.baudRate=38400),Predicted: 38400 [default]
,,Correct: Data Bits (subnetwork.properties.dataBits=1),Predicted: 1 [default]
,,Correct: Parity (subnetwork.properties.parity=0),"Predicted: 0 [accepted combo (Parity=0, Stop Bits=0)]"
,,Correct: Physical Standard (subnetwork.properties.physicalStandard=1),Predicted: 1 [default]
,,Correct: Stop Bits (subnetwork.properties.stopBits=0),"Predicted: 0 [accepted combo (Parity=0, Stop Bits=0)]"
,,Excluded: Node Name (subnetwork.nodes[0].properties.name=Voltage VL1-N),Predicted: PAC2200 [naming convention; not scored]
,,Excluded: Transaction Name (subnetwork.nodes[0].transactions[0].properties.name=Apparent power L1),Predicted: Apparent power L1 [naming convention; not scored]
AVERAGE,gpt-5.1,1 manuals,100.00%
