manual,ai_model,accuracy,accuracy_percent
1SFC132089M0201_PSTX_Internal_Modbus_RTU.pdf,gpt-5.1,11/13,84.62%
1SFC132089M0201_PSTX_Internal_Modbus_RTU.pdf,gpt-5.1,Expected: Data Bits (subnetwork.properties.dataBits=1),
1SFC132089M0201_PSTX_Internal_Modbus_RTU.pdf,gpt-5.1,Predicted: Data Bits (subnetwork.properties.dataBits=not found),
1SFC132089M0201_PSTX_Internal_Modbus_RTU.pdf,gpt-5.1,Expected: Stop Bits (subnetwork.properties.stopBits=0),
1SFC132089M0201_PSTX_Internal_Modbus_RTU.pdf,gpt-5.1,Predicted: Stop Bits (subnetwork.properties.stopBits=not found),
1SFC132089M0201_PSTX_Internal_Modbus_RTU.pdf,gpt-5.1,Excluded: Node Name (subnetwork.nodes[0].properties.name=Status word),
1SFC132089M0201_PSTX_Internal_Modbus_RTU.pdf,gpt-5.1,Predicted: Node Name (subnetwork.nodes[0].properties.name=PSTX),
9203_mcm_101.pdf,gpt-5.1,9/13,69.23%
9203_mcm_101.pdf,gpt-5.1,Expected: Node Address (subnetwork.nodes[0].properties.nodeAddress=247),
9203_mcm_101.pdf,gpt-5.1,Predicted: Node Address (subnetwork.nodes[0].properties.nodeAddress=1),
9203_mcm_101.pdf,gpt-5.1,Expected: Baud Rate (subnetwork.properties.baudRate=19200),
9203_mcm_101.pdf,gpt-5.1,Predicted: Baud Rate (subnetwork.properties.baudRate=115200),
9203_mcm_101.pdf,gpt-5.1,Expected: Data Bits (subnetwork.properties.dataBits=1),
9203_mcm_101.pdf,gpt-5.1,Predicted: Data Bits (subnetwork.properties.dataBits=not found),
9203_mcm_101.pdf,gpt-5.1,Expected: Parity (subnetwork.properties.parity=2),
9203_mcm_101.pdf,gpt-5.1,Predicted: Parity (subnetwork.properties.parity=0),
9203_mcm_101.pdf,gpt-5.1,Excluded: Transaction Name (subnetwork.nodes[0].transactions[0].properties.name=Password),
9203_mcm_101.pdf,gpt-5.1,Predicted: Transaction Name (subnetwork.nodes[0].transactions[0].properties.name=PASSWORD),
APM-MAX-Modbus-Communications.pdf,gpt-5.1,9/13,69.23%
