manual,ai_model,accuracy,accuracy_percent
PM5300 User Manual.pdf,gpt-5.1,9/13,69.23%
,,Correct: Node Address (subnetwork.nodes[0].properties.nodeAddress=1),Predicted: 1 [default]
,,Correct: Request Function Code (subnetwork.nodes[0].transactions[0].frames[0].frameObjects[1].properties.data=3),Predicted: 3 [default]
,,Correct: Request Quantity (subnetwork.nodes[0].transactions[0].frames[0].frameObjects[3].properties.data=4),Predicted: 4 [default]
,,Correct: Response Function Code (subnetwork.nodes[0].transactions[0].frames[1].frameObjects[1].properties.data=3),Predicted: 3 [default]
,,Correct: Response Byte Count (subnetwork.nodes[0].transactions[0].frames[1].frameObjects[2].properties.data=8),Predicted: 8 [default]
,,Correct: Response Data Length (subnetwork.nodes[0].transactions[0].frames[1].frameObjects[3].properties.dataLength=8),Predicted: 8 [default]
,,Correct: Physical Standard (subnetwork.properties.physicalStandard=1),Predicted: 1 [default]
,,Non-default match: Baud Rate (subnetwork.properties.baudRate=19200),Predicted: 38400 [accepted alternate; default was 19200]
,,Non-default match: Parity (subnetwork.properties.parity=2),Predicted: 0 [accepted alternate; default was 2]
,,Wrong: Addressing Mode (subnetwork.nodes[0].properties.modbusAddressingMode=1),Predicted: 0
,,Wrong: Request Starting Address (subnetwork.nodes[0].transactions[0].frames[0].frameObjects[2].properties.data=3203),Predicted: 3204
,,Wrong: Data Bits (subnetwork.properties.dataBits=1),Predicted: not found
,,Wrong: Stop Bits (subnetwork.properties.stopBits=0),Predicted: not found
,,Excluded: Node Name (subnetwork.nodes[0].properties.name=Serial_number),Predicted: PM5300 [naming convention; not scored]
,,Excluded: Transaction Name (subnetwork.nodes[0].transactions[0].properties.name=Active energy delivered),Predicted: Active energy delivered [naming convention; not scored]
AVERAGE,gpt-5.1,1 manuals,69.23%
