manual,ai_model,accuracy,accuracy_percent
a_emcion_homecontroller_modbus_lookup_table_en.pdf,gpt-5.1,8/13,61.54%
,,Correct: Addressing Mode (subnetwork.nodes[0].properties.modbusAddressingMode=0),Predicted: 0 [default]
,,Correct: Node Address (subnetwork.nodes[0].properties.nodeAddress=1),Predicted: 1 [default]
,,Correct: Request Function Code (subnetwork.nodes[0].transactions[0].frames[0].frameObjects[1].properties.data=3),Predicted: 3 [default]
,,Correct: Response Function Code (subnetwork.nodes[0].transactions[0].frames[1].frameObjects[1].properties.data=3),Predicted: 3 [default]
,,Correct: Baud Rate (subnetwork.properties.baudRate=57600),Predicted: 57600 [default]
,,Correct: Data Bits (subnetwork.properties.dataBits=1),Predicted: 1 [default]
,,Correct: Parity (subnetwork.properties.parity=0),Predicted: 0 [default]
,,Correct: Stop Bits (subnetwork.properties.stopBits=0),Predicted: 0 [default]
,,Wrong: Request Starting Address (subnetwork.nodes[0].transactions[0].frames[0].frameObjects[2].properties.data=303),Predicted: not found
,,Wrong: Request Quantity (subnetwork.nodes[0].transactions[0].frames[0].frameObjects[3].properties.data=1),Predicted: not found
,,Wrong: Response Byte Count (subnetwork.nodes[0].transactions[0].frames[1].frameObjects[2].properties.data=2),Predicted: not found
,,Wrong: Response Data Length (subnetwork.nodes[0].transactions[0].frames[1].frameObjects[3].properties.dataLength=2),Predicted: not found
,,Wrong: Physical Standard (subnetwork.properties.physicalStandard=1),Predicted: not found
,,Excluded: Node Name (subnetwork.nodes[0].properties.name=Temperature (onboard sensor)),Predicted: EVCC-Home [naming convention; not scored]
,,Excluded: Transaction Name (subnetwork.nodes[0].transactions[0].properties.name=Temperature (onboard sensor)),Predicted: Temperature (onboard sensor) [naming convention; not scored]
AVERAGE,gpt-5.1,1 manuals,61.54%
