manual,ai_model,accuracy,accuracy_percent
1SFC132089M0201_PSTX_Internal_Modbus_RTU.pdf,gpt-5.1,11/15,73.33%
1SFC132089M0201_PSTX_Internal_Modbus_RTU.pdf,gpt-5.1,Missing: Addressing Mode (subnetwork.nodes[0].properties.modbusAddressingMode=2),
1SFC132089M0201_PSTX_Internal_Modbus_RTU.pdf,gpt-5.1,Missing: Node Name (subnetwork.nodes[0].properties.name=Status word),
1SFC132089M0201_PSTX_Internal_Modbus_RTU.pdf,gpt-5.1,Missing: Node Address (subnetwork.nodes[0].properties.nodeAddress=1),
1SFC132089M0201_PSTX_Internal_Modbus_RTU.pdf,gpt-5.1,Missing: Transaction Name (subnetwork.nodes[0].transactions[0].properties.name=Status word),
1SFC132089M0201_PSTX_Internal_Modbus_RTU.pdf,gpt-5.1,Correct: Request Function Code (subnetwork.nodes[0].transactions[0].frames[0].frameObjects[1].properties.data=4),
1SFC132089M0201_PSTX_Internal_Modbus_RTU.pdf,gpt-5.1,Correct: Request Starting Address (subnetwork.nodes[0].transactions[0].frames[0].frameObjects[2].properties.data=511),
1SFC132089M0201_PSTX_Internal_Modbus_RTU.pdf,gpt-5.1,Correct: Request Quantity (subnetwork.nodes[0].transactions[0].frames[0].frameObjects[3].properties.data=1),
1SFC132089M0201_PSTX_Internal_Modbus_RTU.pdf,gpt-5.1,Correct: Response Function Code (subnetwork.nodes[0].transactions[0].frames[1].frameObjects[1].properties.data=4),
1SFC132089M0201_PSTX_Internal_Modbus_RTU.pdf,gpt-5.1,Correct: Response Byte Count (subnetwork.nodes[0].transactions[0].frames[1].frameObjects[2].properties.data=2),
1SFC132089M0201_PSTX_Internal_Modbus_RTU.pdf,gpt-5.1,Correct: Response Data Length (subnetwork.nodes[0].transactions[0].frames[1].frameObjects[3].properties.dataLength=2),
1SFC132089M0201_PSTX_Internal_Modbus_RTU.pdf,gpt-5.1,Correct: Baud Rate (subnetwork.properties.baudRate=115200),
1SFC132089M0201_PSTX_Internal_Modbus_RTU.pdf,gpt-5.1,Correct: Data Bits (subnetwork.properties.dataBits=1),
1SFC132089M0201_PSTX_Internal_Modbus_RTU.pdf,gpt-5.1,Correct: Parity (subnetwork.properties.parity=0),
1SFC132089M0201_PSTX_Internal_Modbus_RTU.pdf,gpt-5.1,Correct: Physical Standard (subnetwork.properties.physicalStandard=1),
1SFC132089M0201_PSTX_Internal_Modbus_RTU.pdf,gpt-5.1,Correct: Stop Bits (subnetwork.properties.stopBits=0),
9203_mcm_101.pdf,gpt-5.1,10/15,66.67%
9203_mcm_101.pdf,gpt-5.1,Missing: Node Name (subnetwork.nodes[0].properties.name=4511),
9203_mcm_101.pdf,gpt-5.1,Missing: Request Function Code (subnetwork.nodes[0].transactions[0].frames[0].frameObjects[1].properties.data=4),
9203_mcm_101.pdf,gpt-5.1,Missing: Response Function Code (subnetwork.nodes[0].transactions[0].frames[1].frameObjects[1].properties.data=4),
9203_mcm_101.pdf,gpt-5.1,Missing: Transaction Name (subnetwork.nodes[0].transactions[0].properties.name=Password),
9203_mcm_101.pdf,gpt-5.1,Missing: Baud Rate (subnetwork.properties.baudRate=19200),
9203_mcm_101.pdf,gpt-5.1,Correct: Addressing Mode (subnetwork.nodes[0].properties.modbusAddressingMode=0),
9203_mcm_101.pdf,gpt-5.1,Correct: Node Address (subnetwork.nodes[0].properties.nodeAddress=247),
9203_mcm_101.pdf,gpt-5.1,Correct: Request Starting Address (subnetwork.nodes[0].transactions[0].frames[0].frameObjects[2].properties.data=3),
9203_mcm_101.pdf,gpt-5.1,Correct: Request Quantity (subnetwork.nodes[0].transactions[0].frames[0].frameObjects[3].properties.data=1),
9203_mcm_101.pdf,gpt-5.1,Correct: Response Byte Count (subnetwork.nodes[0].transactions[0].frames[1].frameObjects[2].properties.data=2),
9203_mcm_101.pdf,gpt-5.1,Correct: Response Data Length (subnetwork.nodes[0].transactions[0].frames[1].frameObjects[3].properties.dataLength=2),
9203_mcm_101.pdf,gpt-5.1,Correct: Data Bits (subnetwork.properties.dataBits=1),
9203_mcm_101.pdf,gpt-5.1,Correct: Parity (subnetwork.properties.parity=2),
9203_mcm_101.pdf,gpt-5.1,Correct: Physical Standard (subnetwork.properties.physicalStandard=1),
9203_mcm_101.pdf,gpt-5.1,Correct: Stop Bits (subnetwork.properties.stopBits=0),
APM-MAX-Modbus-Communications.pdf,gpt-5.1,9/15,60.00%
APM-MAX-Modbus-Communications.pdf,gpt-5.1,Missing: Node Name (subnetwork.nodes[0].properties.name=Displayed Value),
APM-MAX-Modbus-Communications.pdf,gpt-5.1,Missing: Request Starting Address (subnetwork.nodes[0].transactions[0].frames[0].frameObjects[2].properties.data=1),
APM-MAX-Modbus-Communications.pdf,gpt-5.1,Missing: Transaction Name (subnetwork.nodes[0].transactions[0].properties.name=Displayed Value),
APM-MAX-Modbus-Communications.pdf,gpt-5.1,Missing: Baud Rate (subnetwork.properties.baudRate=115200),
APM-MAX-Modbus-Communications.pdf,gpt-5.1,Missing: Parity (subnetwork.properties.parity=0),
APM-MAX-Modbus-Communications.pdf,gpt-5.1,Missing: Stop Bits (subnetwork.properties.stopBits=1),
APM-MAX-Modbus-Communications.pdf,gpt-5.1,Correct: Addressing Mode (subnetwork.nodes[0].properties.modbusAddressingMode=0),
APM-MAX-Modbus-Communications.pdf,gpt-5.1,Correct: Node Address (subnetwork.nodes[0].properties.nodeAddress=1),
APM-MAX-Modbus-Communications.pdf,gpt-5.1,Correct: Request Function Code (subnetwork.nodes[0].transactions[0].frames[0].frameObjects[1].properties.data=4),
APM-MAX-Modbus-Communications.pdf,gpt-5.1,Correct: Request Quantity (subnetwork.nodes[0].transactions[0].frames[0].frameObjects[3].properties.data=2),
APM-MAX-Modbus-Communications.pdf,gpt-5.1,Correct: Response Function Code (subnetwork.nodes[0].transactions[0].frames[1].frameObjects[1].properties.data=4),
APM-MAX-Modbus-Communications.pdf,gpt-5.1,Correct: Response Byte Count (subnetwork.nodes[0].transactions[0].frames[1].frameObjects[2].properties.data=4),
APM-MAX-Modbus-Communications.pdf,gpt-5.1,Correct: Response Data Length (subnetwork.nodes[0].transactions[0].frames[1].frameObjects[3].properties.dataLength=4),
APM-MAX-Modbus-Communications.pdf,gpt-5.1,Correct: Data Bits (subnetwork.properties.dataBits=1),
APM-MAX-Modbus-Communications.pdf,gpt-5.1,Correct: Physical Standard (subnetwork.properties.physicalStandard=1),
a_si370010--_en.pdf,gpt-5.1,8/16,50.00%
a_si370010--_en.pdf,gpt-5.1,Missing: Node Name (subnetwork.nodes[0].properties.name=si370010),
a_si370010--_en.pdf,gpt-5.1,Missing: Request Function Code (subnetwork.nodes[0].transactions[0].frames[0].frameObjects[1].properties.data=16),
a_si370010--_en.pdf,gpt-5.1,Missing: Request Starting Address (subnetwork.nodes[0].transactions[0].frames[0].frameObjects[2].properties.data=1792),
a_si370010--_en.pdf,gpt-5.1,Missing: subnetwork.nodes[0].transactions[0].frames[0].frameObjects[5].properties.dataLength=4,
a_si370010--_en.pdf,gpt-5.1,Missing: Response Function Code (subnetwork.nodes[0].transactions[0].frames[1].frameObjects[1].properties.data=16),
a_si370010--_en.pdf,gpt-5.1,Missing: Response Byte Count (subnetwork.nodes[0].transactions[0].frames[1].frameObjects[2].properties.data=1792),
a_si370010--_en.pdf,gpt-5.1,Missing: subnetwork.nodes[0].transactions[0].frames[1].frameObjects[3].properties.data=2,
a_si370010--_en.pdf,gpt-5.1,Missing: Transaction Name (subnetwork.nodes[0].transactions[0].properties.name=Device state),
