manual,ai_model,strict_accuracy,strict_percent,normalized_accuracy,normalized_percent
1SFC132089M0201_PSTX_Internal_Modbus_RTU.pdf,gpt-5.1,11/15,73.33%,12/15,80.00%
1SFC132089M0201_PSTX_Internal_Modbus_RTU.pdf,gpt-5.1,Expected: Addressing Mode (subnetwork.nodes[0].properties.modbusAddressingMode=2),,,
1SFC132089M0201_PSTX_Internal_Modbus_RTU.pdf,gpt-5.1,Predicted: Addressing Mode (subnetwork.nodes[0].properties.modbusAddressingMode=0),,,
1SFC132089M0201_PSTX_Internal_Modbus_RTU.pdf,gpt-5.1,Expected: Node Name (subnetwork.nodes[0].properties.name=Status word),,,
1SFC132089M0201_PSTX_Internal_Modbus_RTU.pdf,gpt-5.1,Predicted: Node Name (subnetwork.nodes[0].properties.name=SOFTSTARTER TYPE PSTX),,,
1SFC132089M0201_PSTX_Internal_Modbus_RTU.pdf,gpt-5.1,Expected: Node Address (subnetwork.nodes[0].properties.nodeAddress=1),,,
1SFC132089M0201_PSTX_Internal_Modbus_RTU.pdf,gpt-5.1,Predicted: Node Address (subnetwork.nodes[0].properties.nodeAddress=47),,,
1SFC132089M0201_PSTX_Internal_Modbus_RTU.pdf,gpt-5.1,Near Match: Transaction Name (subnetwork.nodes[0].transactions[0].properties.name=Status word),,,
1SFC132089M0201_PSTX_Internal_Modbus_RTU.pdf,gpt-5.1,Predicted: Transaction Name (subnetwork.nodes[0].transactions[0].properties.name=Read Status word),,,
9203_mcm_101.pdf,gpt-5.1,10/15,66.67%,11/15,73.33%
9203_mcm_101.pdf,gpt-5.1,Expected: Node Name (subnetwork.nodes[0].properties.name=4511),,,
9203_mcm_101.pdf,gpt-5.1,Predicted: Node Name (subnetwork.nodes[0].properties.name=9203 Solenoid / alarm driver with 4511 Modbus RTU enabler),,,
9203_mcm_101.pdf,gpt-5.1,Expected: Request Function Code (subnetwork.nodes[0].transactions[0].frames[0].frameObjects[1].properties.data=4),,,
9203_mcm_101.pdf,gpt-5.1,Predicted: Request Function Code (subnetwork.nodes[0].transactions[0].frames[0].frameObjects[1].properties.data=3),,,
9203_mcm_101.pdf,gpt-5.1,Expected: Response Function Code (subnetwork.nodes[0].transactions[0].frames[1].frameObjects[1].properties.data=4),,,
9203_mcm_101.pdf,gpt-5.1,Predicted: Response Function Code (subnetwork.nodes[0].transactions[0].frames[1].frameObjects[1].properties.data=3),,,
9203_mcm_101.pdf,gpt-5.1,Near Match: Transaction Name (subnetwork.nodes[0].transactions[0].properties.name=Password),,,
9203_mcm_101.pdf,gpt-5.1,Predicted: Transaction Name (subnetwork.nodes[0].transactions[0].properties.name=Read PASSWORD),,,
9203_mcm_101.pdf,gpt-5.1,Expected: Baud Rate (subnetwork.properties.baudRate=19200),,,
9203_mcm_101.pdf,gpt-5.1,Predicted: Baud Rate (subnetwork.properties.baudRate=115200),,,
APM-MAX-Modbus-Communications.pdf,gpt-5.1,8/15,53.33%,9/15,60.00%
APM-MAX-Modbus-Communications.pdf,gpt-5.1,Expected: Addressing Mode (subnetwork.nodes[0].properties.modbusAddressingMode=0),,,
APM-MAX-Modbus-Communications.pdf,gpt-5.1,Predicted: Addressing Mode (subnetwork.nodes[0].properties.modbusAddressingMode=1),,,
APM-MAX-Modbus-Communications.pdf,gpt-5.1,Expected: Node Name (subnetwork.nodes[0].properties.name=Displayed Value),,,
APM-MAX-Modbus-Communications.pdf,gpt-5.1,Predicted: Node Name (subnetwork.nodes[0].properties.name=APM-MAX),,,
APM-MAX-Modbus-Communications.pdf,gpt-5.1,Expected: Request Starting Address (subnetwork.nodes[0].transactions[0].frames[0].frameObjects[2].properties.data=1),,,
APM-MAX-Modbus-Communications.pdf,gpt-5.1,Predicted: Request Starting Address (subnetwork.nodes[0].transactions[0].frames[0].frameObjects[2].properties.data=0),,,
APM-MAX-Modbus-Communications.pdf,gpt-5.1,Near Match: Transaction Name (subnetwork.nodes[0].transactions[0].properties.name=Displayed Value),,,
APM-MAX-Modbus-Communications.pdf,gpt-5.1,Predicted: Transaction Name (subnetwork.nodes[0].transactions[0].properties.name=Read Displayed Value),,,
APM-MAX-Modbus-Communications.pdf,gpt-5.1,Expected: Baud Rate (subnetwork.properties.baudRate=115200),,,
APM-MAX-Modbus-Communications.pdf,gpt-5.1,Predicted: Baud Rate (subnetwork.properties.baudRate=192000),,,
APM-MAX-Modbus-Communications.pdf,gpt-5.1,Expected: Parity (subnetwork.properties.parity=0),,,
APM-MAX-Modbus-Communications.pdf,gpt-5.1,Predicted: Parity (subnetwork.properties.parity=2),,,
APM-MAX-Modbus-Communications.pdf,gpt-5.1,Expected: Stop Bits (subnetwork.properties.stopBits=1),,,
APM-MAX-Modbus-Communications.pdf,gpt-5.1,Predicted: Stop Bits (subnetwork.properties.stopBits=0),,,
a_si370010--_en.pdf,gpt-5.1,8/16,50.00%,9/16,56.25%
a_si370010--_en.pdf,gpt-5.1,Expected: Node Name (subnetwork.nodes[0].properties.name=si370010),,,
